id,common_name,species,lineage,clade,aliases
long-pepper,long pepper,Piper longum,Piperaceae,plant,
javanese-long-pepper,Javanese long pepper,Piper retrofractum,Piperaceae,plant,
black-pepper,black pepper,Piper nigrum,Piperaceae,plant,black pepper;pepper;peppercorn;white pepper
cubeb,cubeb,Piper cubeba,Piperaceae,plant,
hoja-santa,hoja santa,Piper auritum,Piperaceae,plant,
shiny-bush,shiny bush (pansit-pansitan),Peperomia pellucida,Piperaceae,plant,pansit-pansitan
pepper-bark-tree,pepper-bark tree,Warburgia ugandensis,Canellaceae,plant,
wild-cinnamon,wild cinnamon,Canella winterana,Canellaceae,plant,
canelo,canelo,Drimys winteri,Winteraceae,plant,
tasmanian-pepperberry,Tasmanian pepperberry,Tasmannia lanceolata,Winteraceae,plant,
biriba,biribá,Annona mucosa,Annonaceae,plant,
custard-apple,custard apple,Annona reticulata,Annonaceae,plant,
cherimoya,cherimoya,Annona cherimola,Annonaceae,plant,
sugar-apple,sugar apple,Annona squamosa,Annonaceae,plant,
soursop,soursop,Annona muricata,Annonaceae,plant,
pawpaw,pawpaw,Asimina triloba,Annonaceae,plant,
calabash-nutmeg,calabash nutmeg (ehuru),Monodora myristica,Annonaceae,plant,ehuru
finger-root,finger root (bush banana),Uvaria chamae,Annonaceae,plant,bush banana
grains-of-selim,grains of Selim,Xylopia aethiopica,Annonaceae,plant,
southern-magnolia,southern magnolia (petals),Magnolia grandiflora,Magnoliaceae,plant,
papuan-nutmeg,Papuan nutmeg,Myristica argentea,Myristicaceae,plant,
nutmeg,nutmeg / mace,Myristica fragrans,Myristicaceae,plant,mace;nutmeg
southern-sassafras,southern sassafras,Atherosperma moschatum,Atherospermataceae,plant,
boldo,boldo,Peumus boldus,Monimiaceae,plant,
avocado,avocado,Persea americana,Lauraceae,plant,avocado;guacamole
chinene,chinene,Persea schiedeana,Lauraceae,plant,
spicebush,spicebush,Lindera benzoin,Lauraceae,plant,
bay-laurel,bay laurel,Laurus nobilis,Lauraceae,plant,bay leaf;bay
may-chang,may chang,Litsea cubeba,Lauraceae,plant,
sassafras,sassafras (filé),Sassafras albidum,Lauraceae,plant,filé
cassia,cassia,Cinnamomum cassia,Lauraceae,plant,
saigon-cinnamon,Saigon cinnamon,Cinnamomum loureiroi,Lauraceae,plant,
ceylon-cinnamon,Ceylon cinnamon,Cinnamomum verum,Lauraceae,plant,cinnamon;cassia
indonesian-cinnamon,Indonesian cinnamon,Cinnamomum burmannii,Lauraceae,plant,
tejpat,tejpat (Indian bay),Cinnamomum tamala,Lauraceae,plant,Indian bay
california-bay,California bay,Umbellularia californica,Lauraceae,plant,
sweet-flag,sweet flag,Acorus calamus,Acoraceae,plant,
taro,taro,Colocasia esculenta,Araceae,plant,taro;poi;dasheen
giant-taro,giant taro,Alocasia macrorrhizos,Araceae,plant,
elephant-foot-yam,elephant foot yam,Amorphophallus paeoniifolius,Araceae,plant,
konjac,konjac,Amorphophallus konjac,Araceae,plant,
malanga,malanga (yautía),Xanthosoma sagittifolium,Araceae,plant,yautía
swamp-taro,swamp taro (pulaka),Cyrtosperma merkusii,Araceae,plant,pulaka
monstera-fruit,monstera fruit,Monstera deliciosa,Araceae,plant,
watermeal,watermeal (khai-nam),Wolffia globosa,Araceae,plant,khai-nam
arrowhead,arrowhead (cigu),Sagittaria sagittifolia,Alismataceae,plant,cigu
wapato,wapato,Sagittaria latifolia,Alismataceae,plant,
ottelia,ottelia,Ottelia alismoides,Hydrocharitaceae,plant,
waterblommetjie,waterblommetjie,Aponogeton distachyos,Aponogetonaceae,plant,
eelgrass,eelgrass (seeds),Zostera marina,Zosteraceae,plant,
karuka-nut,karuka nut,Pandanus julianettii,Pandanaceae,plant,
screwpine,screwpine (hala fruit),Pandanus tectorius,Pandanaceae,plant,hala fruit
red-fruit,red fruit (buah merah),Pandanus conoideus,Pandanaceae,plant,buah merah
pandan,pandan,Pandanus amaryllifolius,Pandanaceae,plant,
polynesian-arrowroot,Polynesian arrowroot,Tacca leontopetaloides,Dioscoreaceae,plant,
yellow-yam,yellow yam,Dioscorea cayenensis,Dioscoreaceae,plant,
white-guinea-yam,white Guinea yam,Dioscorea rotundata,Dioscoreaceae,plant,
air-potato,air potato,Dioscorea bulbifera,Dioscoreaceae,plant,
bitter-yam,bitter yam,Dioscorea dumetorum,Dioscoreaceae,plant,
cush-cush-yam,cush-cush yam,Dioscorea trifida,Dioscoreaceae,plant,
lesser-yam,lesser yam,Dioscorea esculenta,Dioscoreaceae,plant,
japanese-mountain-yam,Japanese mountain yam,Dioscorea japonica,Dioscoreaceae,plant,
chinese-yam,Chinese yam (nagaimo),Dioscorea polystachya,Dioscoreaceae,plant,nagaimo
greater-yam,greater yam (ube),Dioscorea alata,Dioscoreaceae,plant,ube
sarsaparilla,sarsaparilla,Smilax ornata,Smilacaceae,plant,
rough-bindweed,rough bindweed (shoots),Smilax aspera,Smilacaceae,plant,
china-root,China root,Smilax china,Smilacaceae,plant,
indian-cucumber-root,Indian cucumber-root,Medeola virginiana,Liliaceae,plant,
browns-lily,Brown's lily (bai he),Lilium brownii,Liliaceae,plant,bai he
davids-lily-bulb,David's lily bulb,Lilium davidii,Liliaceae,plant,
tiger-lily-bulb,tiger lily bulb,Lilium lancifolium,Liliaceae,plant,
northern-rice-root,northern rice-root,Fritillaria camschatcensis,Liliaceae,plant,
glacier-lily,glacier lily,Erythronium grandiflorum,Liliaceae,plant,
katakuri,katakuri,Erythronium japonicum,Liliaceae,plant,
sego-lily,sego lily,Calochortus nuttallii,Liliaceae,plant,
salsilla,salsilla,Bomarea edulis,Alstroemeriaceae,plant,
tahitian-vanilla,Tahitian vanilla,Vanilla tahitensis,Orchidaceae,plant,
pompona-vanilla,pompona vanilla,Vanilla pompona,Orchidaceae,plant,
vanilla,vanilla,Vanilla planifolia,Orchidaceae,plant,vanilla
tie-pi-shi-hu,tie pi shi hu,Dendrobium officinale,Orchidaceae,plant,
tianma,tianma,Gastrodia elata,Orchidaceae,plant,
chikanda-orchid,chikanda orchid (Disa),Disa robusta,Orchidaceae,plant,Disa
chikanda-orchid-2,chikanda orchid,Satyrium buchananii,Orchidaceae,plant,
early-purple-orchid,early purple orchid (salep),Orchis mascula,Orchidaceae,plant,salep
salep-orchid,salep orchid,Dactylorhiza romana,Orchidaceae,plant,
lumbah,lumbah (curculin),Curculigo latifolia,Hypoxidaceae,plant,curculin
asparagus,asparagus,Asparagus officinalis,Asparagaceae,plant,asparagus
wild-asparagus,wild asparagus,Asparagus acutifolius,Asparagaceae,plant,
shatavari,shatavari,Asparagus racemosus,Asparagaceae,plant,
false-solomons-seal,false Solomon's seal (shoots),Maianthemum racemosum,Asparagaceae,plant,
solomons-seal,Solomon's seal (shoots),Polygonatum odoratum,Asparagaceae,plant,
cabbage-tree,cabbage tree,Cordyline australis,Asparagaceae,plant,
ti,ti (root),Cordyline fruticosa,Asparagaceae,plant,
urui,urui,Hosta sieboldiana,Asparagaceae,plant,
blue-agave,blue agave,Agave tequilana,Asparagaceae,plant,
maguey-pulquero,maguey pulquero,Agave salmiana,Asparagaceae,plant,
century-plant,century plant (aguamiel),Agave americana,Asparagaceae,plant,aguamiel
espadin,espadín (mezcal),Agave angustifolia,Asparagaceae,plant,mezcal
izote,izote (flowers),Yucca gigantea,Asparagaceae,plant,
banana-yucca,banana yucca,Yucca baccata,Asparagaceae,plant,
great-camas,great camas,Camassia leichtlinii,Asparagaceae,plant,
camas,camas,Camassia quamash,Asparagaceae,plant,
safed-musli,safed musli,Chlorophytum borivilianum,Asparagaceae,plant,
bath-asparagus,Bath asparagus,Ornithogalum pyrenaicum,Asparagaceae,plant,
lampascioni,lampascioni (tassel hyacinth),Leopoldia comosa,Asparagaceae,plant,tassel hyacinth
egyptian-walking-onion,Egyptian walking onion,Allium × proliferum,Amaryllidaceae,plant,
garlic,garlic,Allium sativum,Amaryllidaceae,plant,garlic
wild-onion,wild onion,Allium canadense,Amaryllidaceae,plant,
french-grey-shallot,French grey shallot,Allium oschaninii,Amaryllidaceae,plant,
onion,onion / shallot,Allium cepa,Amaryllidaceae,plant,shallot;onion;onions;shallots;scallion;scallions;green onion;spring onion
ramsons,ramsons,Allium ursinum,Amaryllidaceae,plant,
leek-garlic,leek / elephant garlic,Allium ampeloprasum,Amaryllidaceae,plant,elephant garlic;leek;leeks
hookers-chives,Hooker's chives,Allium hookeri,Amaryllidaceae,plant,
victory-onion,victory onion,Allium victorialis,Amaryllidaceae,plant,
chives,chives,Allium schoenoprasum,Amaryllidaceae,plant,chive;chives
ramps,ramps,Allium tricoccum,Amaryllidaceae,plant,
garlic-chives,garlic chives,Allium tuberosum,Amaryllidaceae,plant,
rakkyo,rakkyo,Allium chinense,Amaryllidaceae,plant,
welsh-onion,Welsh onion (negi),Allium fistulosum,Amaryllidaceae,plant,negi
long-stamen-chive,long-stamen chive,Allium macrostemon,Amaryllidaceae,plant,
blue-flax-lily,blue flax-lily (berries),Dianella caerulea,Asphodelaceae,plant,berries
daylily,daylily,Hemerocallis fulva,Asphodelaceae,plant,
citron-daylily,citron daylily (huang hua cai),Hemerocallis citrina,Asphodelaceae,plant,huang hua cai
asphodel,asphodel (tubers),Asphodelus ramosus,Asphodelaceae,plant,
foxtail-lily,foxtail lily (shoots),Eremurus spectabilis,Asphodelaceae,plant,
aloe-vera,aloe vera,Aloe vera,Asphodelaceae,plant,
cape-aloe,Cape aloe,Aloe ferox,Asphodelaceae,plant,
saffron,saffron,Crocus sativus,Iridaceae,plant,
natal-lily,natal lily (corm),Gladiolus dalenii,Iridaceae,plant,
narrowleaf-cattail,narrowleaf cattail,Typha angustifolia,Typhaceae,plant,
southern-cattail,southern cattail,Typha domingensis,Typhaceae,plant,
broadleaf-cattail,broadleaf cattail,Typha latifolia,Typhaceae,plant,
chagual,chagual (shoots),Puya chilensis,Bromeliaceae,plant,
chupon,chupón,Greigia sphacelata,Bromeliaceae,plant,
karatas,karatas,Bromelia karatas,Bromeliaceae,plant,
pinuela,piñuela,Bromelia pinguin,Bromeliaceae,plant,
pineapple,pineapple,Ananas comosus,Bromeliaceae,plant,pineapple
chinese-water-chestnut,Chinese water chestnut,Eleocharis dulcis,Cyperaceae,plant,
sea-clubrush,sea clubrush (tubers),Bolboschoenus maritimus,Cyperaceae,plant,
tule,"tule (rhizome, pollen)",Schoenoplectus acutus,Cyperaceae,plant,rhizome;pollen
tiger-nut,tiger nut (chufa),Cyperus esculentus,Cyperaceae,plant,chufa
nut-grass,nut grass (tubers),Cyperus rotundus,Cyperaceae,plant,
papyrus,papyrus (pith),Cyperus papyrus,Cyperaceae,plant,
indian-ricegrass,Indian ricegrass,Eriocoma hymenoides,Poaceae,plant,
manchurian-wild-rice,Manchurian wild rice (jiaobai),Zizania latifolia,Poaceae,plant,jiaobai
wild-rice,wild rice (northern),Zizania palustris,Poaceae,plant,
wild-rice-2,wild rice (southern),Zizania aquatica,Poaceae,plant,
african-rice,African rice,Oryza glaberrima,Poaceae,plant,
rice,rice,Oryza sativa,Poaceae,plant,rice;sushi rice;rice vinegar;rice noodles;rice flour;mochi;sake
early-bamboo,early bamboo (shoots),Phyllostachys praecox,Poaceae,plant,
sweetshoot-bamboo,sweetshoot bamboo,Phyllostachys dulcis,Poaceae,plant,
madake,madake (shoots),Phyllostachys bambusoides,Poaceae,plant,
black-bamboo,black bamboo (shoots),Phyllostachys nigra,Poaceae,plant,
moso-bamboo,moso bamboo (shoots),Phyllostachys edulis,Poaceae,plant,
muli-bamboo,muli bamboo (bamboo rice),Melocanna baccifera,Poaceae,plant,bamboo rice
common-bamboo,common bamboo (shoots),Bambusa vulgaris,Poaceae,plant,
bengal-bamboo,Bengal bamboo (shoots),Bambusa tulda,Poaceae,plant,
oldhams-bamboo,Oldham's bamboo (shoots),Bambusa oldhamii,Poaceae,plant,
bolo-bamboo,bolo bamboo (shoots),Gigantochloa levis,Poaceae,plant,
giant-bamboo,giant bamboo (shoots),Dendrocalamus asper,Poaceae,plant,
hamiltons-bamboo,Hamilton's bamboo (shoots),Dendrocalamus hamiltonii,Poaceae,plant,
taiwan-giant-bamboo,Taiwan giant bamboo (shoots),Dendrocalamus latiflorus,Poaceae,plant,
floating-sweet-grass,floating sweet-grass (manna),Glyceria fluitans,Poaceae,plant,manna
kernza,Kernza (intermediate wheatgrass),Thinopyrum intermedium,Poaceae,plant,intermediate wheatgrass
triticale,triticale,× Triticosecale,Poaceae,plant,
khorasan-wheat,khorasan wheat,Triticum turanicum,Poaceae,plant,
einkorn,einkorn,Triticum monococcum,Poaceae,plant,
durum,durum / emmer,Triticum turgidum,Poaceae,plant,emmer
bread-wheat,bread wheat,Triticum aestivum,Poaceae,plant,wheat;flour;bread;pasta;noodles;bun;couscous;bulgur;semolina;durum;seitan;soy sauce;tortilla;crackers;breadcrumbs;panko;pastry
timopheevs-wheat,Timopheev's wheat,Triticum timopheevii,Poaceae,plant,
spelt,spelt,Triticum spelta,Poaceae,plant,
rye,rye,Secale cereale,Poaceae,plant,rye
couch-grass,couch grass (rhizome),Elymus repens,Poaceae,plant,rhizome
barley,barley,Hordeum vulgare,Poaceae,plant,barley;malt;beer;pearl barley
red-oat,red oat,Avena byzantina,Poaceae,plant,
ethiopian-oat,Ethiopian oat,Avena abyssinica,Poaceae,plant,
oat,oat,Avena sativa,Poaceae,plant,oat;oats;oatmeal;rolled oats
sweetgrass,sweetgrass (żubrówka),Anthoxanthum nitens,Poaceae,plant,żubrówka
kodo-millet,kodo millet,Paspalum scrobiculatum,Poaceae,plant,
maize,maize,Zea mays,Poaceae,plant,maize;corn;cornmeal;polenta;masa;corn syrup;cornstarch;popcorn;grits;tortilla
vetiver,vetiver,Chrysopogon zizanioides,Poaceae,plant,
jobs-tears,Job's tears,Coix lacryma-jobi,Poaceae,plant,
duruka,duruka (pitpit),Saccharum edule,Poaceae,plant,pitpit
sugarcane,sugarcane,Saccharum officinarum,Poaceae,plant,sugarcane;sugar;cane sugar;molasses;rum;brown sugar
sorghum,sorghum,Sorghum bicolor,Poaceae,plant,sorghum
east-indian-lemongrass,East Indian lemongrass,Cymbopogon flexuosus,Poaceae,plant,
lemongrass,lemongrass,Cymbopogon citratus,Poaceae,plant,
black-fonio,black fonio,Digitaria iburua,Poaceae,plant,
fonio,fonio,Digitaria exilis,Poaceae,plant,
indian-barnyard-millet,Indian barnyard millet,Echinochloa frumentacea,Poaceae,plant,
japanese-barnyard-millet,Japanese barnyard millet,Echinochloa esculenta,Poaceae,plant,
foxtail-millet,foxtail millet,Setaria italica,Poaceae,plant,
pearl-millet,pearl millet,Cenchrus americanus,Poaceae,plant,
guinea-millet,Guinea millet,Brachiaria deflexa,Poaceae,plant,
proso-millet,proso millet,Panicum miliaceum,Poaceae,plant,
little-millet,little millet,Panicum sumatrense,Poaceae,plant,
common-reed,"common reed (shoots, manna)",Phragmites australis,Poaceae,plant,manna
teff,teff,Eragrostis tef,Poaceae,plant,
finger-millet,finger millet,Eleusine coracana,Poaceae,plant,
cabbage-palmetto,cabbage palmetto,Sabal palmetto,Arecaceae,plant,
guadalupe-palm,Guadalupe palm,Brahea edulis,Arecaceae,plant,
dwarf-fan-palm,dwarf fan palm,Chamaerops humilis,Arecaceae,plant,
saw-palmetto,saw palmetto,Serenoa repens,Arecaceae,plant,
cabbage-tree-palm,cabbage-tree palm,Livistona australis,Arecaceae,plant,
california-fan-palm,California fan palm (fruit),Washingtonia filifera,Arecaceae,plant,
date-palm,date palm,Phoenix dactylifera,Arecaceae,plant,date palm;dates
wild-date-palm,wild date palm (jaggery),Phoenix sylvestris,Arecaceae,plant,jaggery
gebang-palm,gebang palm (sago),Corypha utan,Arecaceae,plant,sago
african-palmyra,African palmyra,Borassus aethiopum,Arecaceae,plant,
palmyra-palm,"palmyra palm (toddy, nungu)",Borassus flabellifer,Arecaceae,plant,toddy;nungu
doum-palm,doum palm,Hyphaene thebaica,Arecaceae,plant,
sugar-palm,sugar palm (kolang kaling),Arenga pinnata,Arecaceae,plant,kolang kaling
kitul,kitul (fishtail palm),Caryota urens,Arecaceae,plant,fishtail palm
pacaya,pacaya,Chamaedorea tepejilote,Arecaceae,plant,
jucara,juçara (palm heart),Euterpe edulis,Arecaceae,plant,palm heart
acai-do-amazonas,açaí-do-amazonas,Euterpe precatoria,Arecaceae,plant,
acai,açaí,Euterpe oleracea,Arecaceae,plant,
palmito,palmito (mountain cabbage),Prestoea acuminata,Arecaceae,plant,mountain cabbage
pataua,patauá,Oenocarpus bataua,Arecaceae,plant,
areca-nut,areca nut,Areca catechu,Arecaceae,plant,
american-oil-palm,American oil palm,Elaeis oleifera,Arecaceae,plant,
african-oil-palm,African oil palm,Elaeis guineensis,Arecaceae,plant,oil palm;palm oil;palm sugar
macauba,macaúba (coyol),Acrocomia aculeata,Arecaceae,plant,coyol
peach-palm,peach palm (pejibaye),Bactris gasipaes,Arecaceae,plant,pejibaye
awarra,awarra,Astrocaryum vulgare,Arecaceae,plant,
tucuma,tucumã,Astrocaryum aculeatum,Arecaceae,plant,
coconut,coconut,Cocos nucifera,Arecaceae,plant,coconut;coconut milk;coconut oil;coconut cream
chonta,chonta (coco cumbi),Parajubaea cocoides,Arecaceae,plant,coco cumbi
jelly-palm,jelly palm,Butia capitata,Arecaceae,plant,
chilean-wine-palm,Chilean wine palm (coquito),Jubaea chilensis,Arecaceae,plant,coquito
inaja,inajá,Attalea maripa,Arecaceae,plant,
babassu,babassu,Attalea speciosa,Arecaceae,plant,
licuri,licuri,Syagrus coronata,Arecaceae,plant,
queen-palm,queen palm,Syagrus romanzoffiana,Arecaceae,plant,
royal-palm,royal palm (heart),Roystonea regia,Arecaceae,plant,
nipa-palm,nipa palm (attap),Nypa fruticans,Arecaceae,plant,attap
raffia-palm,raffia palm (palm wine),Raphia hookeri,Arecaceae,plant,palm wine
buriti,buriti (moriche),Mauritia flexuosa,Arecaceae,plant,moriche
rakum,rakum,Salacca wallichiana,Arecaceae,plant,
salak,salak (snake fruit),Salacca zalacca,Arecaceae,plant,snake fruit
rattan,rattan (shoots),Calamus tenuis,Arecaceae,plant,
sago-palm,sago palm,Metroxylon sagu,Arecaceae,plant,
wild-bornean-sago,wild Bornean sago,Eugeissona utilis,Arecaceae,plant,
plantain-hybrids,plantain / banana hybrids,Musa × paradisiaca,Musaceae,plant,banana hybrids
banana,banana (acuminata),Musa acuminata,Musaceae,plant,acuminata
banana-2,banana (balbisiana),Musa balbisiana,Musaceae,plant,balbisiana
enset,enset,Ensete ventricosum,Musaceae,plant,
crepe-ginger,crepe ginger,Hellenia speciosa,Costaceae,plant,
fingerroot,fingerroot (krachai),Boesenbergia rotunda,Zingiberaceae,plant,krachai
ginger,ginger,Zingiber officinale,Zingiberaceae,plant,ginger
myoga,myoga,Zingiber mioga,Zingiberaceae,plant,
shampoo-ginger,shampoo ginger (awapuhi),Zingiber zerumbet,Zingiberaceae,plant,awapuhi
cassumunar-ginger,cassumunar ginger,Zingiber montanum,Zingiberaceae,plant,
kencur,kencur,Kaempferia galanga,Zingiberaceae,plant,
black-ginger,black ginger,Kaempferia parviflora,Zingiberaceae,plant,
white-ginger-lily,white ginger lily (flowers),Hedychium coronarium,Zingiberaceae,plant,
temulawak,temulawak,Curcuma zanthorrhiza,Zingiberaceae,plant,
wild-turmeric,wild turmeric,Curcuma aromatica,Zingiberaceae,plant,
mango-ginger,mango ginger,Curcuma amada,Zingiberaceae,plant,
east-indian-arrowroot,East Indian arrowroot,Curcuma angustifolia,Zingiberaceae,plant,
black-turmeric,black turmeric,Curcuma caesia,Zingiberaceae,plant,
zedoary,zedoary,Curcuma zedoaria,Zingiberaceae,plant,
turmeric,turmeric,Curcuma longa,Zingiberaceae,plant,turmeric
lesser-galangal,lesser galangal,Alpinia officinarum,Zingiberaceae,plant,
shell-ginger,shell ginger (leaves),Alpinia zerumbet,Zingiberaceae,plant,
greater-galangal,greater galangal,Alpinia galanga,Zingiberaceae,plant,
ethiopian-cardamom,Ethiopian cardamom (korerima),Aframomum corrorima,Zingiberaceae,plant,korerima
grains-of-paradise,grains of paradise,Aframomum melegueta,Zingiberaceae,plant,
bastard-melegueta,bastard melegueta,Aframomum daniellii,Zingiberaceae,plant,
torch-ginger,torch ginger,Etlingera elatior,Zingiberaceae,plant,
green-cardamom,green cardamom,Elettaria cardamomum,Zingiberaceae,plant,cardamom
tsaoko,tsaoko (cao guo),Lanxangia tsaoko,Zingiberaceae,plant,cao guo
black-cardamom,black cardamom,Amomum subulatum,Zingiberaceae,plant,
achira,achira (Queensland arrowroot),Canna indica,Cannaceae,plant,Queensland arrowroot
leren,lerén (Guinea arrowroot),Goeppertia allouia,Marantaceae,plant,Guinea arrowroot
arrowroot,arrowroot,Maranta arundinacea,Marantaceae,plant,
katemfe,katemfe (thaumatin),Thaumatococcus daniellii,Marantaceae,plant,thaumatin
heartshape-false-pickerelweed,heartshape false pickerelweed,Monochoria vaginalis,Pontederiaceae,plant,
benghal-dayflower,Benghal dayflower,Commelina benghalensis,Commelinaceae,plant,
asiatic-dayflower,Asiatic dayflower,Commelina communis,Commelinaceae,plant,
barberry,barberry (zereshk),Berberis vulgaris,Berberidaceae,plant,zereshk
oregon-grape,Oregon grape,Berberis aquifolium,Berberidaceae,plant,
mayapple,mayapple (ripe fruit),Podophyllum peltatum,Berberidaceae,plant,ripe fruit
black-seed,black seed (kalonji),Nigella sativa,Ranunculaceae,plant,kalonji
marsh-marigold,marsh marigold (cooked),Caltha palustris,Ranunculaceae,plant,
blue-sausage-fruit,blue sausage fruit,Decaisnea insignis,Lardizabalaceae,plant,
three-leaf-akebia,three-leaf akebia,Akebia trifoliata,Lardizabalaceae,plant,
akebia,akebia (chocolate vine),Akebia quinata,Lardizabalaceae,plant,chocolate vine
mube,mube,Stauntonia hexaphylla,Lardizabalaceae,plant,
corn-poppy,"corn poppy (petals, greens)",Papaver rhoeas,Papaveraceae,plant,
opium-poppy,opium poppy (seed),Papaver somniferum,Papaveraceae,plant,poppy seed
lotus,"lotus (root, seed)",Nelumbo nucifera,Nelumbonaceae,plant,lotus root
american-lotus,American lotus,Nelumbo lutea,Nelumbonaceae,plant,
geebung,geebung,Persoonia pinifolia,Proteaceae,plant,
red-bopple-nut,red bopple nut,Hicksbeachia pinnatifolia,Proteaceae,plant,
chilean-hazelnut,Chilean hazelnut,Gevuina avellana,Proteaceae,plant,
wild-almond,wild almond (processed),Brabejum stellatifolium,Proteaceae,plant,
macadamia,macadamia,Macadamia integrifolia,Proteaceae,plant,macadamia
rough-shelled-macadamia,rough-shelled macadamia,Macadamia tetraphylla,Proteaceae,plant,
nalca,nalca (Chilean rhubarb),Gunnera tinctoria,Gunneraceae,plant,Chilean rhubarb
elephant-apple,elephant apple,Dillenia indica,Dilleniaceae,plant,
katmon,katmon,Dillenia philippinensis,Dilleniaceae,plant,
native-cherry,native cherry,Exocarpos cupressiformis,Santalaceae,plant,
australian-sandalwood,Australian sandalwood (nut),Santalum spicatum,Santalaceae,plant,
quandong,quandong,Santalum acuminatum,Santalaceae,plant,
coula-nut,coula nut,Coula edulis,Coulaceae,plant,
sourplum,sourplum,Ximenia caffra,Ximeniaceae,plant,
yellow-plum,yellow plum (tallow wood),Ximenia americana,Ximeniaceae,plant,tallow wood
sea-grape,sea grape,Coccoloba uvifera,Polygonaceae,plant,
coral-vine,coral vine (tubers),Antigonon leptopus,Polygonaceae,plant,
japanese-knotweed,Japanese knotweed (shoots),Reynoutria japonica,Polygonaceae,plant,
canaigre,canaigre,Rumex hymenosepalus,Polygonaceae,plant,
monks-rhubarb,monk's rhubarb,Rumex alpinus,Polygonaceae,plant,
sheep-sorrel,sheep sorrel,Rumex acetosella,Polygonaceae,plant,
curly-dock,curly dock,Rumex crispus,Polygonaceae,plant,
french-sorrel,French sorrel,Rumex scutatus,Polygonaceae,plant,
bladder-dock,bladder dock (hummeidh),Rumex vesicarius,Polygonaceae,plant,hummeidh
bloody-dock,bloody dock,Rumex sanguineus,Polygonaceae,plant,
patience-dock,patience dock,Rumex patientia,Polygonaceae,plant,
sorrel,sorrel,Rumex acetosa,Polygonaceae,plant,
mountain-sorrel,mountain sorrel,Oxyria digyna,Polygonaceae,plant,
persian-rhubarb,Persian rhubarb (rivas),Rheum ribes,Polygonaceae,plant,rivas
false-rhubarb,false rhubarb,Rheum rhaponticum,Polygonaceae,plant,
